,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
26,26,246.765806644,-24.4887369189,148406.081555,0.18660542795,0.114154107984,0.145951280133,118.57563819,0.146211709603,3.63014085313,0.358099564104,0.355906114669,0.407346989951,0.349657999837,0.28325644257,123.255130376,0.00241354613562,22.517234986,0.000151727171488,337730.048221,77.1395597401,0.000228405971415,False,False,True,26,9.07834901208e-12,11,38,12.2380842652,20.1697605098
27,27,246.76313327,-24.4901557551,188712.859253,0.197988581823,0.114209656277,0.150373561096,120.716393066,0.16923068132,3.61991606106,0.372610113866,0.370385310471,0.420494046441,0.36444372855,0.376891972878,143.970327238,0.00340894385513,24.7211867671,0.000130998951873,404765.628103,82.1992462866,0.000203078622738,False,False,True,27,7.75833475141e-12,11,42,12.3292049116,20.3399132466
28,28,246.765258818,-24.4896472865,164209.786339,0.193260352876,0.113596755921,0.148167976078,120.164637294,0.155846686364,3.62446627289,0.363667427762,0.358505336987,0.412433292751,0.355324489033,0.308926445034,123.784388298,0.00271283747016,23.4336483288,0.000142705552764,360826.598118,79.0779794299,0.000219157844356,False,False,True,28,8.47936652417e-12,11,38,12.2870903167,20.2338267798
29,29,246.769599504,-24.4928991088,95948.8491438,0.172126601358,0.113233881025,0.139608606824,118.040728506,0.11134584039,3.6707447003,0.338170261765,0.333308934245,0.389126537954,0.329371122161,0.408849296325,47.5900524915,0.00318748120327,19.654953565,0.000204848247169,236719.509499,70.3930581791,0.000297369060658,False,False,True,29,1.21984590912e-11,10,32,12.0316278819,19.7687541167
30,30,246.765050712,-24.4896359523,165755.224093,0.193755867694,0.11355042746,0.14832754835,120.177041654,0.156708960549,3.62382269225,0.365010965196,0.359230597797,0.413700731049,0.356684329703,0.313851488262,124.284500732,0.00276202637056,23.6032889891,0.000142398462059,363290.998639,79.5647512941,0.000219011072645,False,False,True,30,8.43886474812e-12,11,39,12.3091883152,20.2438108054
31,31,246.769157858,-24.4930976103,111649.036283,0.173933796878,0.112299533647,0.139759379917,118.689115943,0.122742855703,3.6643862057,0.343004848372,0.335958738303,0.39304258546,0.334387528738,0.409899910754,48.7395609374,0.00320257821641,20.0742029057,0.000179797368379,272592.107452,71.8170147778,0.00026345962636,False,False,True,31,1.0897485952e-11,11,35,11.956897211,19.8615254482
32,32,246.764504578,-24.4895466274,174626.064992,0.19564564739,0.113190802005,0.148812928662,120.393291204,0.161882605658,3.62047914126,0.367557525752,0.361468393192,0.415820199775,0.359313597047,0.311553916336,122.117655587,0.00275978044912,23.9237886897,0.000137000101851,379036.60489,80.3820908066,0.00021206946709,False,False,True,32,8.1283229443e-12,11,40,12.2743253659,20.2720438996
33,33,246.765548622,-24.4887011707,151018.292601,0.18733698214,0.113959519163,0.146112396483,118.647280431,0.147823787427,3.62864919561,0.359284841076,0.356499977416,0.408408202381,0.350868318334,0.284751421372,122.995272282,0.00243164414891,22.6596973027,0.000150046043512,342332.642181,77.5420082351,0.000226510705322,False,False,True,33,8.97803841824e-12,11,38,12.2430807329,20.1846537493
34,34,246.77130185,-24.4912684198,133800.420231,0.173523018052,0.115616323402,0.141640719331,118.789420058,0.137476497209,3.64281174985,0.343679423648,0.349033247646,0.392410316399,0.335306377533,0.111119009366,152.766542678,0.000891711976556,20.279025673,0.000151561748745,327448.240197,71.5861433376,0.000218618195335,False,False,True,34,9.52191728164e-12,11,36,11.6452861384,19.8911482633
35,35,246.790904338,-24.5065339005,46470.0452122,0.130858336953,0.0533223254185,0.0835324537336,50.340176255,0.0748678933532,3.73532705382,0.328226817744,0.315649119362,0.377399837159,0.31973973752,0.57994836318,26.3689482793,0.00161867550991,11.0620797289,0.000238047535318,150804.386553,66.2142630466,0.000439073852958,False,False,True,35,1.84815114784e-11,7,20,11.2646288308,18.5054022591
