,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
25,25,246.654703896,-24.4988940217,10.860907945,0.0154740003648,0.0111322202638,0.0131247849667,105.31257839,0.00176203855163,3.65337939405,0.337672107044,0.328749540432,0.534980706774,0.416235269277,0.409030081839,0.587736083744,0.323473395249,0.314147808988,0.526133958397,3.09634740819,168.036092178,0.000213350697567,2.11420978851,2.04164779258,4.215363541,0.194662343077,0.187981318222,0.388122573394,298.061447302,80.5426448459,77.7783330454,160.587908742,0.270221612271,0.260947310527,0.538774505042,False,True,False,25,3.90754016457e-10,0,0,19.2287910581,23.5847051167
26,26,246.831235986,-24.4752934517,6911.49212989,0.0740739186989,0.0341811032502,0.0503182696761,49.6470420862,0.0249309709964,3.78283189737,0.324526788748,0.342324451424,0.879882890045,0.388364962569,0.403355596936,0.905374843769,0.313216672373,0.331621889025,0.875774484346,2.96821029624,26.8893920212,0.00300611821607,7.0564116898,7.61167088762,38.3495854302,0.00102096791217,0.00110130645374,0.00554866947824,39623.1294465,70.1177895744,75.6352606778,381.070192567,0.00176961765903,0.00190886640542,0.00961736737836,False,False,True,26,5.93924517793e-11,4,17,14.7747137872,17.2215524803
27,27,246.766528728,-24.490281808,159462.828287,0.189444405989,0.113937509382,0.146917744962,119.848842752,0.153297353992,3.62791310718,0.176035214159,0.356178296142,0.883990653665,0.271570003682,0.411855373789,0.907855355243,0.15559870111,0.346533602708,0.880148870891,0.922108048945,170.564552107,0.00796141589882,10.0743254985,23.1708441537,112.586340163,6.31766387611e-05,0.000145305613871,0.000706035013757,357453.828452,34.2855980435,78.8565198835,383.161136158,9.59161584365e-05,0.000220606169544,0.0010719178413,False,False,True,27,8.64858533318e-12,11,38,13.8826291913,20.1915897925
28,28,247.01477216,-24.6473779292,3.27578956638,0.0126312374176,0.00923870151981,0.0108026030348,104.397930773,0.00123717600433,3.77158949434,0.361774989661,0.310477668595,0.405331074436,0.425819437923,0.383193728113,0.463394357402,0.350551863363,0.29732448345,0.395346361645,2.29728861811,288.267949679,0.00010723397052,1.82119945033,1.47483464255,2.15679082971,0.555957400018,0.450222644849,0.658403351621,110.131707604,84.294472567,68.2629287496,99.8273667361,0.765396945177,0.619829931224,0.906436201783,False,True,False,28,1.12195542424e-09,0,0,16.3756729194,18.8624137361
29,29,246.852535519,-24.4537591896,1030.37028334,0.0576505623079,0.0120049433264,0.0263076364054,77.7850541118,0.0082478400289,3.96974853144,0.297712724942,0.260401420289,1.23834398304,0.363013951658,0.333099327821,1.25564409083,0.285997381848,0.246922124404,1.23557980567,2.66684779256,128.361147814,0.000738281324416,3.22334352501,2.71398518167,38.5649767438,0.0031283351016,0.00263399015437,0.0374282695915,7589.83008122,61.2625071164,51.5816993181,732.961641811,0.00807165726515,0.00679615996222,0.0965715482385,False,False,True,29,1.53780431454e-10,1,12,14.0074220211,16.3064725935
30,30,246.869682438,-24.4508131173,381.7999002,0.0293014606286,0.0113897700501,0.0182684673328,71.9562571811,0.00449882183395,4.00591522586,0.295252021987,0.278163638537,1.50923311406,0.359537113615,0.345641706661,1.52311449739,0.283729269182,0.265901394331,1.50702127864,11.7423165782,130.265611268,0.00156753772731,2.19567317797,2.02923583579,39.4044568198,0.00575084796202,0.00531491976484,0.103207090413,5533.35860451,60.0946192684,55.5393016508,1078.48283334,0.0108604237613,0.0100371773493,0.194905645996,False,True,False,29,2.45157249916e-10,0,11,13.6655389442,15.7465302405
31,31,246.986832179,-24.6493005806,3.18838395158,0.0129703095471,0.0112281348031,0.0120678243289,149.163051661,0.00127466618628,3.63296607447,0.401469854535,0.346161719049,0.489212784349,0.461487152577,0.41427078539,0.539556759075,0.391112949428,0.334094643544,0.480749876215,5.80444734297,7.65979433202,0.000338126201818,2.38960621078,1.9256427704,3.26649037479,0.749472537521,0.603955734205,1.0244971824,104.390877794,99.0073332882,79.7841731007,135.338826858,0.948428975599,0.76428299854,1.29646219783,False,True,False,31,2.24777743574e-10,0,0,16.8143712168,19.4299711881
32,32,246.769428316,-24.4927675643,92029.8366477,0.171716406551,0.113283547053,0.139472734329,117.874750901,0.108534076744,3.67252384757,0.173353774202,0.332647562721,0.82275581535,0.268657213999,0.390870270791,0.847969515547,0.152888857893,0.322456001373,0.818688343346,0.773959843894,148.835120343,0.00602222600816,9.35975449325,19.8122008991,93.2455088221,0.000101703478287,0.000215280191955,0.00101320954398,227593.123196,33.5540653816,71.0253548638,334.278628976,0.000147430049337,0.00031207162091,0.00146875540123,False,False,True,32,1.25703384468e-11,10,32,13.6759238473,19.745263533
33,33,246.79805146,-24.5839817281,1.05364363538,0.0134057658258,0.00432364892459,0.00761326638152,101.100610027,0.000562352729243,3.44438940005,0.44001135979,0.365870043073,0.504406353225,0.494776033718,0.430179282644,0.552828269874,0.430692735342,0.354608409306,0.496298302139,7.51364293714,200.773576693,0.000174201782802,1.73287191818,1.30993014412,2.16336421175,1.6446470704,1.24323832094,2.05322192353,33.3767768621,113.806074248,86.029443768,142.078583839,3.40973829554,2.57752401089,4.25680959028,False,True,False,33,1.26599749295e-09,0,0,16.6198991862,21.3779912976
34,34,247.0351841,-24.6757688193,5.39112633083,0.01311529795,0.00971092048902,0.011285460362,93.807303721,0.00157458764188,3.45369277753,0.25345264219,0.27471758009,0.331467290882,0.33857079643,0.354769913003,0.400327999629,0.237173967552,0.259774898444,0.319192440349,5.8376016843,11.4710542449,0.000297394552654,1.20280825089,1.32065983908,1.68162572037,0.223108897302,0.244969187891,0.311924747663,174.559553978,53.2901721467,58.5115625203,74.5040816425,0.305283617723,0.33519541719,0.426811824071,False,True,False,34,1.95452034398e-09,0,0,16.3597299539,18.9500350449
