,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
22,22,246.764194402,-24.4903197133,189562.960912,0.241414618158,0.109852443489,0.162849579977,120.704049636,0.19437955761,3.62431900703,0.176767612364,0.431403263453,0.944302059755,0.272249665981,0.478520498583,0.966736505933,0.156370458034,0.42345449234,0.940697247483,0.970511638074,172.192291675,0.0102951819048,11.2227550116,34.6709598022,141.508005184,5.92033114356e-05,0.000182899442145,0.000746496069186,333451.131622,34.4574269494,106.450872662,434.474578334,0.00010333576252,0.000319239800279,0.00130296327447,True,False,False,22,7.5376760593e-12,11,40,13.9187372428,20.2780484235
23,23,246.763382133,-24.4885296174,240173.213554,0.17156131071,0.113771538461,0.139709678476,113.736843209,0.10319893732,3.68365352712,0.171963722657,0.439897915887,0.252238849413,0.267545316791,0.485303153739,0.325012940942,0.151371759178,0.432263882332,0.238676192193,0.883962399464,137.089874188,0.00690155208346,9.29820952733,30.593618652,13.7216370847,3.87145984756e-05,0.00012738147689,5.71322541828e-05,594494.018703,33.2768983106,109.489975876,49.1076825683,5.59751608321e-05,0.00018417338515,8.2604165935e-05,True,False,False,23,4.54610524664e-12,10,32,13.63820183,19.7874877488
24,24,246.998638498,-24.5618468422,254.522010499,0.026822357737,0.0151014086442,0.0201259878015,168.985005153,0.00707995734996,4.10120867189,0.128126051872,0.179514858443,0.174946267565,0.225921880262,0.258553660222,0.255402833476,0.104539808677,0.163517188184,0.158488116162,2.10848429511,274.146603897,0.000341621167159,0.955106765521,1.25094067542,1.22063763432,0.00375255076623,0.00491486246304,0.00479580383611,4029.68102747,23.7281959758,31.0777460405,30.3249124058,0.00588835588077,0.0077122099314,0.00752538779101,True,False,False,24,2.33562417183e-10,0,1,11.2408052589,17.0139335868
25,25,246.654703896,-24.4988940217,11.8689533973,0.0155074022671,0.0115310507897,0.0133722340377,105.31257839,0.00182910632025,3.65337939405,0.337672107044,0.395488754656,0.390242248922,0.416235269277,0.464371298181,0.459911252698,0.323473395249,0.383437009974,0.378023277592,3.09634740819,168.036092178,0.000221471379833,2.15407019378,2.681098907,2.6298450988,0.181487796074,0.225891771351,0.221573462358,325.02416244,80.5426448459,100.248728053,98.3323015211,0.247805099293,0.308434693902,0.302538435244,True,False,False,25,3.57566776093e-10,0,0,19.2287910581,23.5847051167
26,26,246.831235986,-24.4752934517,11425.8341409,0.0745635679366,0.0370701477594,0.0525745421366,49.6470420862,0.0272169086163,3.78283189737,0.324526788748,0.39528293358,0.361823966023,0.388364962569,0.449175138578,0.420031296364,0.313216672373,0.386051349975,0.351715267832,2.96821029624,26.8893920212,0.00328175123176,7.37282136502,9.86245531869,8.62416246224,0.000645276421316,0.000863171580913,0.00075479499841,65073.4017358,70.1177895744,93.7949710818,82.0184267114,0.00107751842848,0.00144137187514,0.00126039863483,True,False,False,26,3.59265203734e-11,4,17,14.7747137872,17.2215524803
27,27,246.766528728,-24.490281808,-3467.80255554,0.234530543337,0.106014896607,0.157682374738,119.848842752,0.1765844492,3.62791310718,0.176035214159,0.406778268155,1.00407517625,0.271570003682,0.456322725403,1.02514819896,0.15559870111,0.398360538465,1.00069451818,0.922108048945,170.564552107,0.00917081870456,10.8124690377,30.5285006912,154.075855057,-0.00311795982167,-0.00880341374754,-0.0444304001135,-6279.09752737,34.2855980435,96.8037827369,488.563973345,-0.00546027480766,-0.015416830574,-0.0778079925046,True,False,False,27,-3.97695040539e-10,11,38,13.8826291913,20.1915897925
28,28,247.01477216,-24.6473779292,3.41661690534,0.0124978119518,0.00985656366841,0.0110988954053,104.397930773,0.00130597291732,3.77158949434,0.361774989661,0.358633614607,0.277159148811,0.425819437923,0.423153778306,0.356732735165,0.350551863363,0.347308991085,0.262340731745,2.29728861811,288.267949679,0.00011319703973,1.87115106854,1.84779732164,1.31323912974,0.547661947586,0.54082660504,0.384368270169,116.092610136,84.294472567,83.2423972908,59.1608030249,0.726096798652,0.717034419273,0.509600076659,True,False,False,28,1.07571026383e-09,0,0,16.3756729194,18.8624137361
29,29,246.852535519,-24.4537591896,1939.27331006,0.0598217018778,0.0179297526431,0.0327503941557,77.7850541118,0.0127823183453,3.96974853144,0.297712724942,0.308248861923,-1.07299459847,0.363013951658,0.371703676849,1.09291521668,0.285997381848,0.296949485112,1.06980327359,2.66684779256,128.361147814,0.00114417191458,4.01274251006,4.20715365692,36.3720354016,0.00206919905989,0.00216944854296,0.0187554973365,13766.4680814,61.2625071164,64.2305805072,555.291567312,0.00445012524302,0.00466572690448,0.040336531057,True,False,False,29,8.17062689961e-11,1,12,14.0074220211,16.3064725935
30,30,246.869682438,-24.4508131173,1644.24870393,0.0438048826615,0.0233067338037,0.031952288486,71.9562571811,0.013762537192,4.00591522586,0.295252021987,0.322035526281,-17.3851614351,0.359537113615,0.381837740102,17.3863719995,0.283729269182,0.311505091275,17.3849695618,11.7423165782,130.265611268,0.00479532132371,3.84032122264,4.33149481855,8980.44861755,0.00233560848396,0.00263433068744,5.46173373655,15939.9613068,60.0946192684,67.7806664841,140529.036308,0.00377006054857,0.00425224786809,8.81614663946,True,False,False,29,5.69263112859e-11,0,11,13.6655389442,15.7465302405
31,31,246.986832179,-24.6493005806,3.3134293553,0.012845359237,0.0119041436402,0.0123657996696,149.163051661,0.00133839072751,3.63296607447,0.401469854535,0.411918560168,0.378154401361,0.461487152577,0.470605193452,0.441353712074,0.391112949428,0.401831053206,0.36714036332,5.80444734297,7.65979433202,0.00035503018603,2.44860969852,2.54632460294,2.23961775788,0.738995595182,0.768486160377,0.675921384682,109.540252368,99.0073332882,102.95834766,90.5569319305,0.903844305154,0.939913369139,0.826700048362,True,False,False,31,2.16294863548e-10,0,0,16.8143712168,19.4299711881
