,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
20,20,83.911064628,-5.10102124576,565.963904515,0.0804757186327,0.0365237895817,0.0542151105669,155.463743416,0.0431070112573,11.6408121484,0.377004946743,0.485401532239,0.436340279175,0.366720409462,12.3037038863,235.73888343,0.0144656035127,9.59730035753,0.0169574424817,2986.52494472,88.5113048483,0.0296368878502,False,False,True,20,2.37378355133e-10,15.6676309684,26.4266005273
21,21,83.8439119888,-5.11172413625,748049.443889,0.670999475763,0.17039819787,0.338137695978,174.264864092,1.06179375097,11.1321230622,0.339864913304,0.478324759152,0.416964328915,0.325975369965,0.822140125171,80.1436980821,0.0376004475563,54.6599869253,7.3070018796e-05,473424.140656,80.825041951,0.000170724378015,False,False,True,21,2.1600562017e-11,18.9436657466,26.9285063084
22,22,83.7309014857,-5.40220124589,171.839359755,0.0909710980171,0.0375977126243,0.0584833754187,125.023301232,0.0304017868868,11.4021375762,0.653717102036,0.48379379576,0.674631355042,0.650340603179,22.392297136,236.424220267,0.030635396137,24.7481992123,0.144019386755,802.160892683,211.583198089,0.263766533645,False,False,True,22,6.82624510312e-10,9.01922881875,33.7977282202
23,23,83.8077071674,-5.35192111481,12547366.0452,0.27518612965,0.110824553379,0.174634990522,8.97810264125,0.475084639857,8.86696319253,0.49131158308,1.24841491622,0.562216876778,0.479111213533,4.0006600998,47.2353731887,0.0488038603891,51.3236045433,4.09038872052e-06,19362806.4247,146.945364128,7.589052997e-06,False,False,True,23,6.19545997182e-13,24.2515758684,47.6296260314
24,24,83.918542283,-5.11499200142,9.96705510476,0.0197672777487,0.0174782066185,0.0185875378891,8.39173054981,0.00544509615882,12.4002263165,0.28875006895,0.18355099275,0.34254809654,0.279273667739,77.9767852667,307.810264334,0.0107762845768,2.02788401824,0.203458694361,214.122482943,54.5495597735,0.254758673744,False,True,False,20,9.22177261541e-10,11.025947306,25.7316322318
25,25,83.8733222206,-4.9777481294,132.463483967,0.0452693087738,0.0182778076121,0.0287649737789,1.33185508787,0.0122514663574,11.8960428611,0.516391986671,0.306789658115,0.57072799729,0.507246057081,3.06856628902,124.463286455,0.00101560180927,8.71165094935,0.0657664338007,1242.60926136,151.428105173,0.121863010265,False,True,False,9,2.30277633029e-09,19.176981988,22.5231616369
26,26,83.7251169594,-5.39911854839,51.5011643491,0.0629512789053,0.0265989304234,0.0409198813252,148.737094601,0.0186040785426,11.5177536261,0.693559853561,0.386717957356,0.720804554098,0.689142892449,35.7602786807,218.343202609,0.0239513290337,19.7673083948,0.383822553231,347.419960186,241.536726826,0.695229850055,False,True,False,22,1.62012368178e-09,12.5100311044,33.6309874787
27,27,83.8080114215,-5.35129776905,11561244.3368,0.269571623324,0.107331761843,0.17009878681,9.21179795865,0.436968966746,8.87182992552,0.490448007404,1.23978986099,0.562062438672,0.478113874253,3.91081274175,41.5404560758,0.0452615523538,49.9629958567,4.32159328193e-06,18212630.715,146.864644933,8.06388968354e-06,False,False,True,27,6.53808494143e-13,24.4704521558,47.0860138376
28,28,83.8425638475,-5.11789954714,571958.84727,0.656205140014,0.153097297885,0.316959356692,172.255878184,0.892542012034,11.1056221376,0.331892187062,0.450053293379,0.412849528014,0.317169572703,0.966640929703,75.9207426381,0.0388447494864,50.2302442739,8.78214307091e-05,370141.201457,79.2376738744,0.000214074179158,False,False,True,28,2.55015828404e-11,19.5738811894,26.7919115431
29,29,83.846962646,-5.1297893831,447640.188816,0.574212229199,0.12360366901,0.266410844973,177.58883923,0.759590914156,11.109978276,0.33494030853,0.453147789164,0.414534321379,0.320515740889,1.22419728317,80.3036789876,0.0347548327299,42.5648410709,9.50871752233e-05,331054.05259,79.8857138777,0.000241307161935,False,False,True,29,2.98466983304e-11,19.3665548057,26.3867439413
30,30,83.8080998014,-5.35095177484,11271988.4219,0.26628038741,0.106629830365,0.168503508982,9.29148338506,0.426078774428,8.87164921547,0.489194255094,1.23634256505,0.560860800002,0.476847821122,4.40633884151,39.1387531489,0.0500444338565,49.2830130832,4.37216675874e-06,17976437.5297,146.237349539,8.13494605358e-06,False,False,True,30,6.63287727378e-13,24.4311308293,46.9273458015
31,31,83.8468359761,-5.1294386973,476422.454814,0.574613930639,0.124835758256,0.267828985989,177.521345361,0.792715249122,11.1079545088,0.336456801433,0.457148927257,0.41516548743,0.322221790418,1.22296055726,80.2189482957,0.0350903415894,42.9218263124,9.00919465039e-05,352093.775877,80.1291655456,0.000227579045798,False,False,True,31,2.8394119919e-11,19.206018571,26.4753113742
