,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
26,26,52.3007315134,31.3087869117,68.1986119411,0.0203884948911,0.0153735314545,0.0177043262373,51.2481893548,0.00554794331569,8.59459942186,0.225898213164,0.138365439333,0.30386616492,0.210911169849,2.39736764493,157.321614091,0.000300575403332,1.51992522136,0.0222867471654,1420.4718931,42.925248919,0.0302190061819,False,True,False,23,1.82846442558e-09,13.4095409182,16.4402471603
27,27,52.2119094478,31.372940138,0.302235083888,0.00976306117236,0.00427737712721,0.00646222055877,74.9143275404,0.000715863653637,8.56097687899,0.390621273534,0.143592864401,0.390621273534,0.390621273534,2.17818203799,332.23134009,3.63846093962e-05,0.916793843863,3.0333799507,13.1462274499,70.9348926986,5.39583640775,True,False,False,27,3.20641046702e-22,0.0,15.3352193265
28,28,52.2243776043,31.2371882052,5063.55808929,0.125756650622,0.0385652127776,0.06964073513,134.172726718,0.0665753197883,7.63515197689,0.278800113897,0.459339097063,0.333075420827,0.269195107716,2.62408055024,324.888444506,0.00509053991818,7.18334369173,0.00141863558491,17098.8581955,51.5742954057,0.0030162420681,False,False,True,28,1.82364793651e-10,10.7815303253,15.302530252
29,29,52.2846329371,31.2470693957,5114.86555212,0.0837548814713,0.0300763221972,0.050190026905,136.169636148,0.0382987054696,7.76437770548,0.410172512603,0.439666512532,0.458876937713,0.401911736201,5.19972430888,30.004725242,0.00523932291485,9.82625476568,0.00192111692195,25933.8127082,97.8905110401,0.00377462859555,False,False,True,25,2.56532558599e-10,13.741303842,14.8701257081
30,30,52.200770452,31.3769779721,0.258262862574,0.00935968659546,0.00426504481255,0.00631818666716,141.926716841,0.000715863653637,8.59815209008,0.314285051381,0.123083498364,0.314285051381,0.314285051381,3.32105827424,326.42782283,5.30299714107e-05,0.580253850226,2.24675682924,11.7177149658,45.919334201,3.91879597133,True,False,False,30,3.75233870957e-22,0.0,15.2880696415
31,31,52.1871252584,31.4066470602,9.7429644306,0.0254203518388,0.0171044935749,0.0208519122552,127.726055222,0.00483207966205,8.34936241587,0.236869639028,0.197064190459,0.255077194214,0.233853765988,124.171185637,114.481243945,0.0215959640969,1.26144197941,0.12947209121,162.761557016,30.2476330221,0.185840155235,False,True,False,18,8.19799469801e-10,2.90793594775,15.5014163321
32,32,52.1554455956,31.2913728328,3583.3020264,0.125399565255,0.0360573406174,0.0672426563846,23.7773942125,0.0604904787323,8.02203692301,0.233763284997,0.287250827662,0.282546611833,0.22506281338,1.71439984203,355.317415644,0.00310071487497,4.99117960338,0.00139289950069,12134.7172212,37.1131947468,0.00305843095231,False,False,True,32,2.18899631201e-10,8.1770545703,13.8016801564
33,33,52.2505883245,31.3361147943,2671.67994895,0.0834484897372,0.0557731070927,0.0682215622427,31.4189791919,0.0363300804221,7.91837613781,0.269718563567,0.2494471338,0.347150082132,0.255299219576,2.04776686239,106.480699737,0.0038122715038,7.64424034857,0.00286121110861,13595.9082733,56.0251048003,0.00412073277297,False,False,True,33,2.23273048012e-10,15.5069185236,15.6826462521
34,34,52.1861193938,31.388729839,0.492215558749,0.0117747173158,0.00643497432244,0.00870459669261,164.388602924,0.00107379548046,8.45555695388,0.348536613525,0.15038397113,0.367268060728,0.345474590696,0.663385645691,329.601082446,2.01058930999e-05,1.09167434956,2.21787859029,17.7519932443,62.70677368,3.53237931184,True,False,False,18,6.82289622115e-10,4.35292209483,15.2844140302
35,35,52.2355440671,31.229569413,1122.83769539,0.100116066787,0.0244372309972,0.0494627076756,144.189994905,0.0295293757125,7.44299813202,0.303091887592,0.39179032753,0.361236464995,0.292818345456,2.23376488943,330.983877722,0.00218601544026,6.00121495241,0.00534468603703,4762.72472287,60.6640359417,0.012737254297,False,False,True,28,4.96944637085e-10,12.5402743622,16.482539832
36,36,52.2622654028,31.2626963376,55.7423326902,0.0198864493282,0.0132826311312,0.0162525189105,2.01949707888,0.003937250095,8.27938741045,0.402573996952,0.278729243658,0.462512323519,0.392234230059,12.1573364353,335.099013814,0.00128451679398,3.23255130454,0.0579909585503,1190.33764076,99.4477016867,0.0835457926236,False,True,False,25,2.81291161935e-09,16.8336808926,19.1016576086
37,37,52.2844431137,31.290403288,29.3384282234,0.0170485177589,0.0118384996255,0.0142066488344,156.171541178,0.00340035235478,8.46633901409,0.240059019343,0.102720381858,0.314465706842,0.226028476366,2.28840384592,299.936637463,0.000184746385941,1.30622008493,0.0445224970806,730.789826678,45.9721395296,0.0629074705905,False,True,False,23,1.99630740967e-09,13.3951604094,14.0811527868
38,38,52.2716692424,31.3149794831,34.7077717034,0.0218997239321,0.0120830316792,0.0162669929009,167.629980964,0.00465311374864,8.30355209658,0.234686508448,0.134445701975,0.31209360431,0.219930923058,3.16190294667,145.543688343,0.000334674852697,1.47317772439,0.0424451830839,673.023715699,45.2811940524,0.0672802354451,False,True,False,33,1.98778133897e-09,13.7406891938,14.7438690473
39,39,52.164293693,31.3031931469,727.608435522,0.0442936748543,0.0252181046206,0.0334215877317,166.653913699,0.0214759096091,8.10525367908,0.235716317054,0.192511131785,0.304194669307,0.222940258737,1.21912896891,348.8445829,0.000544708055365,2.87546711203,0.00395194306669,6975.86854551,43.0181105564,0.00616670315327,False,True,False,32,7.36564139434e-10,12.0030191353,13.3371023369
40,40,52.2069550416,31.3155944808,0.81028515813,0.00949352800271,0.00649128281081,0.0078501703891,96.3531992219,0.00107379548046,8.46935185606,0.253399894462,0.106029007231,0.291122478781,0.246892573234,4.33731248689,262.079096775,0.000106915056653,0.618598258022,0.763432788834,36.2453689005,39.4003077233,1.08704391536,True,False,False,40,3.55934209861e-09,6.66856208172,14.6603110763
41,41,52.2040724085,31.3549453435,100.386294893,0.0395779157844,0.0165864489805,0.0256214184016,84.3740798257,0.0114538184582,8.28663558599,0.172776598932,0.113819979071,0.236195528002,0.160440012261,0.340445506613,163.437508312,8.93951453922e-05,1.32899895211,0.0132388485253,1077.11923447,25.935311841,0.0240784037746,False,True,False,41,7.80445078895e-10,8.42030157492,14.6042891432
42,42,52.4670999635,31.651477195,1026.17988303,0.0656965054859,0.0320241329393,0.0458680021947,20.9361693685,0.0490366602741,8.20923431469,0.11431153789,0.135336955215,0.159049065592,0.105493344618,2.52154634183,252.944631587,0.00212200593745,1.07882300081,0.00105130008749,6633.20628115,11.7600827287,0.00177291075088,False,True,False,42,2.20695305859e-10,3.97029646332,14.7315168036
43,43,52.2535993945,31.3387000027,1773.3089881,0.0644775816734,0.0538322863785,0.0589149865623,13.1369364507,0.0282766143187,7.93521351078,0.270735210764,0.226578356706,0.348066722582,0.256345908127,2.10748725579,128.981597179,0.00292601477197,6.63634445012,0.00374235087887,11679.3305762,56.3213609758,0.00482231071449,False,False,True,33,2.81747491189e-10,15.5354269991,15.8350790908
44,44,52.3051646194,31.3408702276,15.9489422399,0.0193597956391,0.0122415836036,0.0153946275325,78.4633057565,0.00357931826819,8.22394835883,0.363125717094,0.157481563901,0.396840223853,0.35749043069,4.71323409896,123.856723558,0.00044680433067,2.25412858407,0.141334049002,349.843164371,73.2115336768,0.209269584582,False,True,False,44,5.62967327233e-10,8.3181351338,17.4888759493
